               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.018014,             0.01385,           0.0033339,             0.78229,             0.79245,             0.80668,             0.59985,             0.02614,            0.020583,            0.017807,           0.0087609,           0.0087609,           0.0087609
                 123,            0.019137,            0.014039,           0.0031568,             0.80747,             0.76088,               0.818,             0.61824,              0.0259,            0.020471,            0.016702,           0.0087414,           0.0087414,           0.0087414
                 124,            0.017839,            0.013662,           0.0028994,             0.80098,             0.77776,             0.81209,             0.61873,            0.026319,            0.020138,            0.017462,           0.0087217,           0.0087217,           0.0087217
                 125,            0.017031,            0.013302,           0.0030105,             0.83414,             0.76352,             0.82833,             0.61909,            0.025738,            0.019438,            0.016342,           0.0087019,           0.0087019,           0.0087019
                 126,            0.016687,            0.013081,           0.0030888,             0.78973,             0.81158,             0.82942,             0.62506,            0.025368,            0.018672,            0.019825,            0.008682,            0.008682,            0.008682
                 127,            0.017081,            0.012146,           0.0030669,             0.82808,             0.76993,               0.829,             0.62565,            0.025288,            0.019477,            0.015739,           0.0086619,           0.0086619,           0.0086619
                 128,            0.016517,            0.012477,           0.0027709,             0.82686,             0.78205,             0.82095,             0.62451,            0.025411,            0.019032,            0.015673,           0.0086417,           0.0086417,           0.0086417
                 129,            0.016986,            0.013328,           0.0028703,             0.81648,             0.79393,             0.82395,             0.62499,             0.02614,            0.019839,             0.01692,           0.0086214,           0.0086214,           0.0086214
                 130,            0.017062,            0.012898,           0.0028279,             0.83812,             0.75864,             0.82482,             0.62522,            0.026172,            0.019565,            0.016427,            0.008601,            0.008601,            0.008601
                 131,            0.017633,             0.01328,           0.0029911,             0.77093,              0.8079,             0.81327,             0.61709,            0.025924,            0.019795,            0.015584,           0.0085805,           0.0085805,           0.0085805
                 132,            0.017553,            0.013286,           0.0033263,             0.77639,             0.80742,             0.82311,             0.62394,            0.026433,            0.020024,             0.01538,           0.0085598,           0.0085598,           0.0085598
                 133,            0.016191,            0.013235,           0.0026512,             0.82224,             0.78029,              0.8165,             0.61987,            0.025347,            0.019724,            0.018923,            0.008539,            0.008539,            0.008539
                 134,            0.018023,            0.012555,           0.0028744,             0.83351,             0.77974,              0.8173,             0.62132,            0.025589,            0.019094,            0.015766,           0.0085181,           0.0085181,           0.0085181
                 135,            0.016309,            0.012896,           0.0027606,             0.80072,             0.76686,             0.80243,             0.60831,            0.025112,            0.019035,            0.018965,           0.0084971,           0.0084971,           0.0084971
                 136,            0.017243,            0.012377,           0.0028659,             0.78717,             0.78736,             0.82234,             0.61148,            0.025066,            0.019271,            0.018638,           0.0084759,           0.0084759,           0.0084759
                 137,            0.016335,            0.012288,           0.0025182,             0.78774,             0.81022,             0.82811,             0.62234,            0.025215,            0.018599,            0.017612,           0.0084546,           0.0084546,           0.0084546
                 138,            0.017369,            0.012415,           0.0030762,             0.80199,             0.77273,             0.82024,             0.62454,            0.025904,            0.019443,            0.017674,           0.0084333,           0.0084333,           0.0084333
                 139,            0.017589,             0.01321,            0.002685,             0.80166,             0.77163,             0.82079,             0.61951,             0.02535,            0.019049,            0.018284,           0.0084118,           0.0084118,           0.0084118
                 140,            0.015658,             0.01191,           0.0025216,             0.79198,             0.79671,             0.82489,             0.62328,            0.025308,            0.018535,            0.015794,           0.0083901,           0.0083901,           0.0083901
                 141,             0.01666,            0.012573,           0.0029049,             0.85046,              0.7186,             0.82148,             0.62141,            0.025181,            0.018629,            0.016377,           0.0083684,           0.0083684,           0.0083684
                 142,            0.016046,            0.011723,           0.0025581,             0.79368,             0.78976,             0.82293,             0.62684,            0.025121,            0.018756,            0.017999,           0.0083466,           0.0083466,           0.0083466
                 143,            0.017189,            0.013271,           0.0029562,             0.83535,             0.76758,              0.8209,             0.62595,            0.025004,            0.018978,            0.015611,           0.0083246,           0.0083246,           0.0083246
                 144,            0.017067,            0.012703,           0.0030835,             0.86004,             0.78426,             0.84291,             0.63838,            0.025076,            0.019115,            0.015562,           0.0083025,           0.0083025,           0.0083025
                 145,            0.016345,            0.012141,           0.0025819,              0.8401,              0.8093,             0.84395,             0.63685,            0.025395,            0.019165,            0.013008,           0.0082804,           0.0082804,           0.0082804
                 146,            0.016604,            0.012345,           0.0028634,             0.83507,             0.76792,             0.82312,             0.62048,            0.025144,            0.020146,            0.013693,           0.0082581,           0.0082581,           0.0082581
                 147,            0.016464,            0.012705,           0.0027684,             0.82525,             0.78449,             0.82763,             0.61822,            0.026123,            0.020048,            0.013731,           0.0082357,           0.0082357,           0.0082357
                 148,            0.015802,             0.01216,           0.0030448,             0.78586,             0.76567,             0.79517,             0.60325,            0.025387,            0.020479,            0.017039,           0.0082132,           0.0082132,           0.0082132
                 149,            0.015753,            0.012474,           0.0027435,             0.81587,             0.79209,             0.83445,             0.63136,            0.025003,            0.019527,            0.013456,           0.0081906,           0.0081906,           0.0081906
                 150,            0.015237,            0.012306,           0.0026645,             0.82516,             0.77382,             0.82231,             0.62483,            0.025259,            0.019463,             0.01654,           0.0081679,           0.0081679,           0.0081679
                 151,            0.017043,            0.012673,           0.0028985,             0.80979,              0.8149,             0.82248,             0.62297,            0.025649,            0.019046,            0.016845,            0.008145,            0.008145,            0.008145
                 152,            0.015125,            0.011704,           0.0027435,             0.83363,             0.77674,             0.83031,             0.63441,            0.025136,            0.019474,            0.017115,           0.0081221,           0.0081221,           0.0081221
                 153,            0.015282,             0.01173,           0.0023697,             0.83756,             0.76923,             0.83379,              0.6307,            0.024632,            0.018186,            0.016892,           0.0080991,           0.0080991,           0.0080991
                 154,            0.015959,            0.012507,             0.00235,             0.77017,             0.80272,             0.83071,             0.63978,            0.024243,            0.017921,            0.016758,           0.0080759,           0.0080759,           0.0080759
                 155,            0.015652,            0.012222,           0.0024801,             0.78396,             0.79404,             0.82509,             0.63008,             0.02475,            0.018687,            0.018533,           0.0080527,           0.0080527,           0.0080527
